gene_name,baseMean,log2FoldChange,lfcSE,padj,n_cells_trt,n_cells_ctrl,drug,concentration,Cell_Name_Vevo,plate
PSMB6,80.32310485839844,-0.1401616930961609,0.18064169585704803,0.7313865423202515,1593,4862,Capmatinib,0.05000000074505806,A549,1
PSMB8,31.597789764404297,0.18769530951976776,0.25201064348220825,0.7462302446365356,1593,4862,Capmatinib,0.05000000074505806,A549,1
PSMB10,18.342538833618164,-0.28443002700805664,0.33425745368003845,0.698257565498352,1593,4862,Capmatinib,0.05000000074505806,A549,1
PSMB9,62.90827178955078,0.17545002698898315,0.18550515174865723,0.6564381122589111,1593,4862,Capmatinib,0.05000000074505806,A549,1
PSMB7,222.7326202392578,-0.4881284236907959,0.12154092639684677,0.0019700031261891127,1168,4862,Celecoxib,0.05000000074505806,A549,1
PSMB9,49.20522689819336,-0.5012035965919495,0.2149568498134613,0.12657779455184937,1168,4862,Celecoxib,0.05000000074505806,A549,1
PSMB5,63.70844650268555,-0.30615735054016113,0.2363322526216507,0.5220291018486023,1169,4862,DT-061,0.05000000074505806,A549,1
PSMB6,68.21580505371094,-0.5602755546569824,0.262309730052948,0.21403659880161285,1169,4862,DT-061,0.05000000074505806,A549,1
PSMB10,13.261717796325684,-0.7703851461410522,0.45588603615760803,0.36717045307159424,1169,4862,DT-061,0.05000000074505806,A549,1
PSMB7,9.786848068237305,-2.2870826721191406,1.9450008869171143,0.3820382356643677,2,4862,DTP3,0.05000000074505806,A549,1
PSMB8,1.4328428506851196,0.48524075746536255,1.961949348449707,0.8832658529281616,2,4862,DTP3,0.05000000074505806,A549,1
PSMB10,0.5952883362770081,1.7516851425170898,1.9718819856643677,0.5299271941184998,2,4862,DTP3,0.05000000074505806,A549,1
PSMB5,80.38740539550781,-0.2614353895187378,0.16998258233070374,0.3816588521003723,1932,4862,Dabrafenib,0.05000000074505806,A549,1
PSMB6,98.47783660888672,-0.28042563796043396,0.15025658905506134,0.260536253452301,1932,4862,Dabrafenib,0.05000000074505806,A549,1
PSMB8,37.384498596191406,-0.2933058440685272,0.2616814076900482,0.5628934502601624,1932,4862,Dabrafenib,0.05000000074505806,A549,1
PSMB10,15.608881950378418,-0.5161229968070984,0.3692190647125244,0.43904027342796326,1932,4862,Dabrafenib,0.05000000074505806,A549,1
PSMB7,306.178955078125,-0.07501571625471115,0.08710508048534393,0.6481176614761353,1631,4862,ERK5-IN-2,0.05000000074505806,A549,1
PSMB9,60.65302658081055,-0.7587261199951172,0.20298385620117188,0.0034704883582890034,1631,4862,ERK5-IN-2,0.05000000074505806,A549,1
PSMB5,68.737548828125,-0.03320690616965294,0.18347905576229095,0.9495267271995544,1604,4862,ETC-206,0.05000000074505806,A549,1
PSMB6,84.99130249023438,-0.3553893566131592,0.1872306913137436,0.27118298411369324,1604,4862,ETC-206,0.05000000074505806,A549,1
PSMB10,18.400272369384766,-0.4638517200946808,0.3552471101284027,0.507797360420227,1604,4862,ETC-206,0.05000000074505806,A549,1
PSMB7,264.0289306640625,0.16035768389701843,0.09630271792411804,0.28290069103240967,1230,4862,EX229,0.05000000074505806,A549,1
