Cell_Name_Vevo,drug,concentration,plate,position,delta,se,z,p,fdr
A549,Abiraterone acetate,0.050000000745058,10,b1,-0.1750699505209922,0.26772320732716043,-0.6539214596628337,0.5131624074914358,0.8257172810041385
A549,Abiraterone acetate,0.5,11,b1,-0.3442159071564675,0.3068421546218907,-1.1218012322349613,0.26194696219289815,0.6593123121790154
A549,Abiraterone acetate,5.0,12,b1,-0.7306015491485596,0.34250311520331944,-2.1331238073991066,0.03291457127085631,0.2791506417226853
A549,Acetazolamide,0.050000000745058,10,b1,-0.4564707130193711,0.36350248395780493,-1.255756791671217,0.2092041616898287,0.6057192748936675
A549,Acetazolamide,0.5,11,b1,0.03320106491446491,0.3837176987446617,0.08652471601670368,0.9310493092050084,0.9840720020551436
A549,Acetazolamide,5.0,12,b1,-0.21965605020523069,0.39380695432050683,-0.5577759554404915,0.5769973835865337,0.8559937620772942
A549,Acetohexamide,0.050000000745058,4,b1,-0.3329671397805214,0.3217568728714349,-1.0348408001639355,0.3007432652940303,0.6926838298479876
A549,Acetohexamide,0.5,5,b1,-0.7588115185499191,0.2881736777290027,-2.633174287568007,0.008459092708074817,0.14277900239050798
A549,Acetohexamide,5.0,6,b1,-0.7454174757003784,0.31378348388876776,-2.375579066375015,0.01752143809892122,0.20750874720220505
A549,Acetohexamide,5.0,14,b1,0.5797263076528907,0.47962458990176576,1.2087084771271366,0.22677486374300726,0.624168170335624
A549,Adagrasib,0.050000000745058,1,b1,0.06584822386503218,0.2651819745268422,0.2483133477775915,0.8038919723292098,0.9458756902666124
A549,Adagrasib,0.050000000745058,2,b1,0.5752773806452751,0.20547530227966077,2.799739794821169,0.005114381444765478,0.10845861516491716
